municipio,agencias_bancarias_2024,agua_rede_geral_1991,agua_rede_geral_2000,agua_rede_geral_2010,agua_rede_geral_2022,casas_lotericas_2024,densidade_1991,densidade_2000,densidade_2010,densidade_2022,emprego_formal_estoque_2020,emprego_formal_estoque_2021,emprego_formal_estoque_2022,emprego_formal_estoque_2023,esgoto_rede_geral_1991,esgoto_rede_geral_2000,esgoto_rede_geral_2010,esgoto_rede_geral_2022,estabelecimentos_hospital_2023,estabelecimentos_ubs_2023,focos_queimadas_2022,focos_queimadas_2023,fonte,fpm_2019,fpm_2020,fpm_2021,fpm_2022,fpm_2023,fundeb_2019,fundeb_2020,fundeb_2021,fundeb_2022,fundeb_2023,icms_2019,icms_2020,icms_2021,icms_2022,icms_2023,ideb_anos_finais_2013,ideb_anos_finais_2015,ideb_anos_finais_2017,ideb_anos_finais_2019,ideb_anos_finais_2021,ideb_anos_finais_2023,idhm_1991,idhm_2000,idhm_2010,idhm_educacao_1991,idhm_educacao_2000,idhm_educacao_2010,idhm_longevidade_1991,idhm_longevidade_2000,idhm_longevidade_2010,idhm_renda_1991,idhm_renda_2000,idhm_renda_2010,ipva_2019,ipva_2020,ipva_2021,ipva_2022,ipva_2023,itr_2019,itr_2020,itr_2021,itr_2022,itr_2023,lixo_coletado_1991,lixo_coletado_2000,lixo_coletado_2010,lixo_coletado_2022,pib_per_capita_2017,pib_per_capita_2018,pib_per_capita_2019,pib_per_capita_2020,pib_per_capita_2021,pib_total_2017,pib_total_2018,pib_total_2019,pib_total_2020,pib_total_2021,pop_1991,pop_2000,pop_2010,pop_2022,taxa_alfabetizacao_2000,taxa_alfabetizacao_2010,taxa_alfabetizacao_2022,taxa_urbanizacao_1991,taxa_urbanizacao_2000,taxa_urbanizacao_2010,taxa_urbanizacao_2022,transferencias_total_2019,transferencias_total_2020,transferencias_total_2021,transferencias_total_2022,transferencias_total_2023,vab_agropecuaria_2017,vab_agropecuaria_2018,vab_agropecuaria_2019,vab_agropecuaria_2020,vab_agropecuaria_2021,vab_industria_2017,vab_industria_2018,vab_industria_2019,vab_industria_2020,vab_industria_2021,vab_servicos_2017,vab_servicos_2018,vab_servicos_2019,vab_servicos_2020,vab_servicos_2021,versao_extrator
peixe,,,,,,,2.4,1.7,2.0,1.8,1.0,685.0,750.0,850.0,31.0,1.0,307.0,400.0,1.0,6.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),8063460.0,7713245.0,10258707.0,12947697.0,13398412.0,7290736.0,7129154.0,8547425.0,9425434.0,9467623.0,13142235.0,11422000.0,12624572.0,13648452.0,15569406.0,,,,,,,0.32,0.482,0.674,0.11,0.285,0.555,0.632,0.715,0.812,0.473,0.549,0.679,405780.0,440533.0,566890.0,634747.0,806800.0,1060202.0,1151972.0,1721791.0,2191329.0,2881417.0,176.0,428.0,1668.0,2175.0,13843.08,13846.53,14359.85,16609.22,19402.49,540632.0,527357.0,754188.0,679977.0,733929.0,12871.0,8763.0,10384.0,9317.0,79.4,83.5,84.6,19.3,41.9,50.4,48.9,16445538.0,16020548.0,20545112.0,24591139.0,25752787.0,23492.0,21305.0,19736.0,29505.0,41252.0,2430.0,1868.0,2585.0,2992.0,3260.0,32510.0,35801.0,38781.0,41178.0,44519.0,9.0
pequizeiro,,3.0,487.0,725.0,877.0,,2.7,3.8,4.2,4.1,1.0,168.0,190.0,198.0,,,,,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,5077615.0,5744027.0,6373842.0,7549209.0,7979359.0,2173590.0,2185016.0,2513003.0,2380300.0,2962851.0,4.1,4.1,5.0,4.3,4.3,4.6,0.344,0.433,0.627,0.135,0.227,0.518,0.618,0.684,0.806,0.486,0.523,0.589,230272.0,249588.0,282811.0,337485.0,400719.0,147312.0,134938.0,123032.0,111985.0,328569.0,12.0,378.0,729.0,939.0,10831.5,11829.04,13135.05,14096.34,19258.19,75486.0,75367.0,78649.0,91550.0,107606.0,3289.0,4591.0,5054.0,4921.0,72.1,80.3,85.3,53.0,49.9,47.3,51.9,11291319.0,11679671.0,14201236.0,17387976.0,18359937.0,11690.0,10995.0,12558.0,16274.0,33421.0,927.0,1821.0,2228.0,2055.0,2672.0,26052.0,28593.0,31860.0,32595.0,35021.0,9.0
pindorama,,3.0,511.0,808.0,950.0,,3.2,3.0,2.9,2.9,1.0,91.0,97.0,94.0,31.0,3.0,8.0,26.0,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2783356.0,2933587.0,3363041.0,4299824.0,4847931.0,1445605.0,1519486.0,2131322.0,1945550.0,2202983.0,,,,,,,0.315,0.423,0.605,0.108,0.217,0.521,0.588,0.655,0.733,0.493,0.534,0.579,90387.0,100135.0,140001.0,156604.0,190572.0,10590.0,12348.0,28834.0,47379.0,48287.0,1.0,250.0,784.0,987.0,14931.45,17050.46,18852.99,22754.12,29605.14,48958.0,52805.0,58412.0,62447.0,85006.0,4949.0,4685.0,4506.0,4478.0,81.9,85.2,87.3,37.4,49.6,65.4,64.7,8858989.0,8745460.0,11095425.0,14072684.0,14947964.0,18393.0,23021.0,24334.0,34252.0,54669.0,968.0,968.0,1056.0,1132.0,1430.0,19483.0,21135.0,23073.0,24456.0,26219.0,9.0
piraque,,3.0,238.0,295.0,356.0,,,,,,1.0,345.0,353.0,368.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1647678.0,1733656.0,1985982.0,2371620.0,2745667.0,1710466.0,1679114.0,2127954.0,2113121.0,2291719.0,,,,,,,0.271,0.431,0.621,0.071,0.213,0.511,0.647,0.708,0.792,0.433,0.532,0.593,47185.0,57405.0,68738.0,86131.0,102711.0,81349.0,63533.0,99839.0,173824.0,209479.0,,,,,18652.65,20796.68,25697.01,40375.43,46221.52,45451.0,51544.0,57087.0,69013.0,89940.0,,,,,80.2,78.9,84.5,,,,,7792047.0,7595054.0,9788310.0,12269315.0,13006572.0,63888.0,75910.0,103301.0,205205.0,253143.0,5182.0,4861.0,6943.0,9280.0,10438.0,42868.0,48082.0,53123.0,55468.0,61852.0,9.0
pium,,3.0,228.0,550.0,1113.0,,0.9,0.6,0.7,0.7,1.0,531.0,579.0,645.0,,,,,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4534695.0,5137883.0,6582411.0,7499531.0,9366593.0,5495002.0,6078067.0,8429005.0,10164741.0,8906520.0,,,,,,,0.326,0.487,0.65,0.115,0.283,0.527,0.571,0.696,0.822,0.527,0.585,0.633,270214.0,288989.0,331303.0,414829.0,466029.0,1074704.0,834791.0,1445877.0,1823208.0,978560.0,314.0,489.0,1140.0,1490.0,9742.76,10267.86,11595.49,12754.71,14426.13,140566.0,157306.0,196685.0,312627.0,361915.0,8867.0,5540.0,6694.0,7128.0,80.9,80.6,86.6,29.9,57.7,56.5,53.4,11678738.0,11775895.0,15734331.0,19052163.0,20397692.0,6510.0,6217.0,6814.0,11020.0,16379.0,1117.0,1947.0,1926.0,2607.0,2742.0,25841.0,27635.0,30849.0,31295.0,33880.0,9.0
ponte_alta_do_bom_jesus,,3.0,159.0,577.0,710.0,,3.8,2.7,2.5,2.5,1.0,100.0,100.0,106.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1872830.0,1577284.0,1984636.0,2318300.0,2524307.0,1222958.0,1223224.0,1541141.0,1434278.0,1553386.0,,,,,,,0.276,0.411,0.603,0.086,0.184,0.455,0.566,0.699,0.82,0.431,0.539,0.589,103450.0,112917.0,165151.0,147091.0,177367.0,50515.0,77705.0,65231.0,70874.0,100925.0,,,,,10007.15,10543.4,11400.25,12345.71,14791.31,45255.0,47242.0,53293.0,58557.0,66158.0,6537.0,4574.0,4544.0,4220.0,71.2,74.8,83.4,26.3,53.9,55.0,55.1,7988575.0,7454684.0,9753538.0,12114852.0,12677018.0,13824.0,12582.0,13676.0,19221.0,30046.0,2227.0,3238.0,3843.0,3842.0,4452.0,44558.0,48489.0,51925.0,54260.0,60805.0,9.0
ponte_alta_do_tocantins,,3.0,117.0,696.0,1272.0,,1.1,0.9,1.1,1.2,1.0,161.0,184.0,225.0,31.0,1.0,46.0,9.0,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4435527.0,5020928.0,6033131.0,6705730.0,7342220.0,2564852.0,2987247.0,5481274.0,3760103.0,6241106.0,,,,,,,0.32,0.461,0.624,0.115,0.268,0.531,0.612,0.66,0.779,0.464,0.553,0.587,221785.0,256081.0,299978.0,358217.0,456721.0,128492.0,305197.0,399792.0,1229524.0,1384658.0,10.0,526.0,1205.0,1657.0,9357.65,10004.76,11107.73,12475.89,14700.83,79547.0,83936.0,91647.0,100198.0,121170.0,7486.0,6172.0,7180.0,7586.0,78.0,83.4,87.1,31.1,53.1,63.1,68.1,10633918.0,11129798.0,14139250.0,17665104.0,18779501.0,2874.0,2602.0,2691.0,5195.0,11067.0,805.0,866.0,1669.0,1710.0,1993.0,18691.0,20586.0,22709.0,24138.0,25251.0,9.0
porto_alegre_do_tocantins,,3.0,291.0,512.0,682.0,,4.2,4.7,5.6,5.7,1.0,82.0,80.0,89.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2099628.0,2197661.0,2685161.0,2827663.0,3193172.0,844446.0,814513.0,1135018.0,1473235.0,1420564.0,,,,,,,0.383,0.44,0.645,0.206,0.259,0.584,0.593,0.697,0.785,0.461,0.472,0.586,69005.0,66569.0,119488.0,121733.0,120966.0,12947.0,11413.0,11133.0,14176.0,30426.0,59.0,205.0,502.0,683.0,35050.33,31822.24,35271.92,48976.34,68063.36,29027.0,31095.0,34867.0,39549.0,47043.0,2103.0,2393.0,2796.0,2866.0,71.1,80.1,84.1,43.2,57.6,68.6,73.9,8175703.0,8007059.0,10398883.0,12565890.0,13275063.0,227678.0,197492.0,206029.0,253750.0,504037.0,357702.0,166876.0,240782.0,391474.0,594708.0,314370.0,342321.0,383715.0,411198.0,455230.0,9.0
porto_nacional,,3.0,3282.0,8375.0,11336.0,,9.7,10.1,11.0,14.5,1.0,7250.0,7716.0,8392.0,31.0,29.0,5818.0,9511.0,2.0,16.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),22174515.0,21211424.0,28211443.0,35606167.0,38582195.0,32848047.0,36786341.0,46308741.0,54379623.0,57972786.0,33250146.0,43139041.0,64421366.0,77086387.0,89352533.0,,,,,,,0.424,0.562,0.74,0.203,0.406,0.701,0.64,0.708,0.826,0.588,0.619,0.699,5201315.0,5625644.0,6948331.0,8914780.0,10607476.0,504828.0,760069.0,884434.0,1209167.0,1404671.0,3322.0,7391.0,11537.0,19475.0,8220.21,8645.36,9597.08,9823.4,10876.87,1851639.0,1677032.0,1869765.0,2611222.0,3649421.0,43224.0,44991.0,49146.0,64418.0,85.9,90.8,93.5,80.2,86.2,86.3,89.7,55642043.0,58853930.0,75467545.0,91292367.0,97979114.0,7313.0,7579.0,7891.0,9755.0,13436.0,1403.0,1411.0,2621.0,3382.0,3670.0,47893.0,51651.0,57441.0,57808.0,63120.0,9.0
praia_norte,,,,,,,20.2,22.5,26.5,30.1,1.0,40.0,35.0,40.0,,,,,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,9128686.0,9384050.0,11110868.0,14523947.0,15693332.0,1196428.0,1276284.0,1473071.0,1320700.0,1685625.0,3.3,3.6,4.0,3.3,4.2,3.4,0.252,0.374,0.583,0.082,0.229,0.517,0.486,0.59,0.73,0.402,0.388,0.526,122892.0,125190.0,144058.0,157427.0,179147.0,848.0,952.0,1259.0,1109.0,1642.0,2.0,255.0,695.0,1405.0,13773.25,13281.58,14247.34,15650.37,17765.89,68762.0,72318.0,80923.0,83479.0,93139.0,6068.0,6781.0,7659.0,9044.0,62.4,69.0,83.9,39.8,51.2,58.3,60.2,15200002.0,15189137.0,18818745.0,24255342.0,25747683.0,8523.0,7890.0,8177.0,10790.0,18096.0,1570.0,1472.0,2536.0,2101.0,2447.0,22284.0,22751.0,24916.0,27457.0,29451.0,9.0
