municipio,agencias_bancarias_2024,agua_rede_geral_1991,agua_rede_geral_2000,agua_rede_geral_2010,agua_rede_geral_2022,casas_lotericas_2024,densidade_1991,densidade_2000,densidade_2010,densidade_2022,emprego_formal_estoque_2020,emprego_formal_estoque_2021,emprego_formal_estoque_2022,emprego_formal_estoque_2023,esgoto_rede_geral_1991,esgoto_rede_geral_2000,esgoto_rede_geral_2010,esgoto_rede_geral_2022,estabelecimentos_hospital_2023,estabelecimentos_ubs_2023,focos_queimadas_2022,focos_queimadas_2023,fonte,fpm_2019,fpm_2020,fpm_2021,fpm_2022,fpm_2023,fundeb_2019,fundeb_2020,fundeb_2021,fundeb_2022,fundeb_2023,icms_2019,icms_2020,icms_2021,icms_2022,icms_2023,ideb_anos_finais_2013,ideb_anos_finais_2015,ideb_anos_finais_2017,ideb_anos_finais_2019,ideb_anos_finais_2021,ideb_anos_finais_2023,idhm_1991,idhm_2000,idhm_2010,idhm_educacao_1991,idhm_educacao_2000,idhm_educacao_2010,idhm_longevidade_1991,idhm_longevidade_2000,idhm_longevidade_2010,idhm_renda_1991,idhm_renda_2000,idhm_renda_2010,ipva_2019,ipva_2020,ipva_2021,ipva_2022,ipva_2023,itr_2019,itr_2020,itr_2021,itr_2022,itr_2023,lixo_coletado_1991,lixo_coletado_2000,lixo_coletado_2010,lixo_coletado_2022,pib_per_capita_2017,pib_per_capita_2018,pib_per_capita_2019,pib_per_capita_2020,pib_per_capita_2021,pib_total_2017,pib_total_2018,pib_total_2019,pib_total_2020,pib_total_2021,pop_1991,pop_2000,pop_2010,pop_2022,taxa_alfabetizacao_2000,taxa_alfabetizacao_2010,taxa_alfabetizacao_2022,taxa_urbanizacao_1991,taxa_urbanizacao_2000,taxa_urbanizacao_2010,taxa_urbanizacao_2022,transferencias_total_2019,transferencias_total_2020,transferencias_total_2021,transferencias_total_2022,transferencias_total_2023,vab_agropecuaria_2017,vab_agropecuaria_2018,vab_agropecuaria_2019,vab_agropecuaria_2020,vab_agropecuaria_2021,vab_industria_2017,vab_industria_2018,vab_industria_2019,vab_industria_2020,vab_industria_2021,vab_servicos_2017,vab_servicos_2018,vab_servicos_2019,vab_servicos_2020,vab_servicos_2021,versao_extrator
presidente_kennedy,,3.0,80.0,541.0,791.0,,8.4,4.9,4.8,4.0,1.0,145.0,140.0,149.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1409178.0,1362079.0,1708007.0,2065761.0,2680656.0,1387842.0,1397691.0,1704766.0,1799094.0,2004556.0,,,,,,,0.355,0.527,0.669,0.135,0.386,0.582,0.64,0.699,0.82,0.52,0.544,0.628,117649.0,132821.0,159560.0,184457.0,236653.0,57764.0,64714.0,105949.0,71360.0,84409.0,238.0,383.0,889.0,918.0,19113.72,21274.37,23624.2,30076.23,30103.17,51416.0,49036.0,52487.0,57531.0,65165.0,6498.0,3759.0,3681.0,3047.0,76.5,83.7,88.7,43.2,83.0,87.7,84.9,7530903.0,7225426.0,9516933.0,11861731.0,12816637.0,8662.0,7175.0,8602.0,26566.0,25069.0,1608.0,5705.0,4747.0,5976.0,7808.0,18274.0,18910.0,21712.0,22421.0,24447.0,9.0
pugmil,,3.0,257.0,510.0,542.0,,,,,,1.0,176.0,194.0,194.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1715377.0,2267561.0,2585155.0,2611607.0,3218591.0,1854609.0,2250571.0,2883474.0,2979261.0,3675505.0,,,,,,,0.196,0.45,0.669,0.031,0.252,0.595,0.541,0.669,0.809,0.448,0.54,0.621,103337.0,117683.0,139288.0,161753.0,191796.0,14297.0,11057.0,32600.0,21185.0,38540.0,,,,,9729.8,10152.72,11116.46,12091.83,20842.97,50651.0,56569.0,63502.0,81717.0,82663.0,,,,,80.3,87.0,90.0,,,,,7792174.0,8076080.0,10320001.0,12356314.0,13308490.0,7939.0,6945.0,7277.0,10221.0,45604.0,717.0,750.0,892.0,939.0,1700.0,24290.0,27647.0,30320.0,32139.0,34102.0,9.0
recursolandia,,3.0,239.0,491.0,573.0,,,,,,1.0,127.0,121.0,155.0,31.0,1.0,2.0,3.0,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3719881.0,3812370.0,4923419.0,6142449.0,6380407.0,1228253.0,1555229.0,1897527.0,1731597.0,1696275.0,,,,,,,0.148,0.33,0.5,0.019,0.144,0.345,0.498,0.607,0.738,0.34,0.412,0.49,59274.0,65174.0,113809.0,116781.0,123035.0,13599.0,17943.0,29518.0,37175.0,31540.0,,,,,9822.15,10227.68,11173.44,11936.71,14511.21,41157.0,43088.0,47723.0,52503.0,91480.0,,,,,73.6,72.4,78.5,,,,,9798192.0,9629636.0,12656412.0,15905055.0,16463690.0,7542.0,7440.0,7769.0,10822.0,19681.0,997.0,1304.0,1194.0,2565.0,1685.0,27695.0,30191.0,34146.0,33966.0,38098.0,9.0
riachinho,,3.0,342.0,725.0,799.0,,,,,,1.0,53.0,58.0,74.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4733136.0,4486899.0,5557234.0,6266876.0,7070428.0,1340949.0,1590421.0,1870925.0,1361094.0,1906265.0,,,,,,,0.157,0.361,0.572,0.021,0.185,0.49,0.515,0.628,0.76,0.358,0.405,0.503,196182.0,150654.0,178366.0,176333.0,212021.0,35779.0,34067.0,59977.0,58663.0,59260.0,,,,,9235.32,10095.92,10881.57,11776.8,13180.67,45192.0,47088.0,51901.0,55912.0,68536.0,,,,,72.3,77.4,84.3,,,,,10834132.0,10320701.0,13320945.0,16051361.0,17181506.0,559.0,519.0,573.0,933.0,1582.0,436.0,518.0,837.0,1152.0,1303.0,14291.0,16241.0,17830.0,19018.0,21266.0,9.0
rio_da_conceicao,,3.0,152.0,379.0,464.0,,,,,,1.0,66.0,40.0,54.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1446829.0,1473524.0,1944544.0,2245624.0,2621775.0,1696940.0,2447661.0,1321171.0,1419361.0,3996956.0,,,,,,,0.247,0.412,0.608,0.077,0.246,0.561,0.512,0.594,0.718,0.384,0.478,0.557,31811.0,37842.0,44455.0,49301.0,62263.0,4542.0,4196.0,18590.0,35939.0,15566.0,,,,,15789.74,17997.05,19328.36,22086.59,29846.56,19034.0,21080.0,23178.0,25567.0,29142.0,,,,,71.4,86.0,89.5,,,,,7513068.0,7274527.0,9664966.0,12004458.0,12688575.0,15821.0,20161.0,24311.0,30199.0,49060.0,2196.0,2515.0,1350.0,1339.0,1876.0,17577.0,19279.0,20499.0,22488.0,24479.0,9.0
rio_dos_bois,,3.0,256.0,454.0,539.0,,,,,,1.0,267.0,273.0,54.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1923526.0,2246524.0,2542115.0,2822054.0,3041068.0,1627142.0,1563471.0,1760644.0,1662352.0,2173433.0,,,,,,,0.255,0.476,0.616,0.071,0.295,0.501,0.524,0.66,0.795,0.444,0.555,0.588,65907.0,70527.0,81136.0,109703.0,182475.0,58312.0,63699.0,45733.0,60337.0,77381.0,,,,,9465.48,10125.21,12169.29,13503.19,17150.42,44369.0,50590.0,54777.0,63079.0,85928.0,,,,,77.0,80.8,86.1,,,,,8044553.0,8107856.0,10290200.0,12606071.0,13169838.0,11621.0,13461.0,18812.0,26879.0,44816.0,1784.0,1937.0,2459.0,2793.0,3729.0,35873.0,38786.0,43690.0,43711.0,47725.0,9.0
rio_sono,,3.0,100.0,515.0,858.0,,1.1,1.0,1.0,0.8,1.0,136.0,132.0,174.0,31.0,2.0,11.0,15.0,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3654894.0,3681067.0,4334979.0,5359778.0,5713294.0,1647527.0,2029716.0,2657934.0,2730843.0,3307153.0,,,,,,,0.284,0.363,0.6,0.085,0.166,0.482,0.583,0.657,0.779,0.464,0.437,0.574,114986.0,115576.0,156707.0,182756.0,268582.0,207411.0,205250.0,235407.0,282979.0,286482.0,,,,,8152.07,8465.15,9455.76,17703.27,29914.52,61639.0,65490.0,78833.0,87609.0,111443.0,6994.0,6089.0,6254.0,4841.0,72.5,80.1,88.1,23.0,30.7,38.5,41.8,9930141.0,9688196.0,12275491.0,15370657.0,16052006.0,3365.0,3365.0,3584.0,36758.0,89575.0,823.0,812.0,995.0,1751.0,3455.0,25926.0,28149.0,31909.0,34446.0,38256.0,9.0
sampaio,,3.0,440.0,915.0,1037.0,,19.7,12.6,17.4,19.0,1.0,23.0,23.0,26.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2913494.0,3512398.0,5043987.0,5886279.0,6199952.0,1158731.0,1024127.0,1426971.0,1100625.0,1719603.0,,,,,,,0.205,0.457,0.606,0.055,0.382,0.59,0.481,0.58,0.691,0.328,0.43,0.546,121136.0,107856.0,131117.0,125455.0,183669.0,925.0,921.0,1600.0,936.0,1241.0,,,,,20475.3,20816.52,23475.28,28329.78,34629.51,37328.0,39168.0,44546.0,84869.0,145863.0,4379.0,2801.0,3864.0,4215.0,70.9,76.1,83.1,43.5,81.7,91.0,83.5,8979651.0,9313116.0,12749398.0,15613199.0,16253046.0,32780.0,31649.0,34551.0,47180.0,69974.0,1728.0,1498.0,1872.0,2075.0,2224.0,20640.0,21836.0,25061.0,26355.0,27968.0,9.0
sandolandia,,3.0,61.0,403.0,606.0,,,,,,1.0,229.0,231.0,319.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1700065.0,1738039.0,2259446.0,2511114.0,2919944.0,3254593.0,3413731.0,4472373.0,4355518.0,4985141.0,,,,,,,0.294,0.498,0.659,0.095,0.293,0.578,0.606,0.696,0.791,0.441,0.605,0.626,144079.0,142476.0,191037.0,257420.0,283295.0,102016.0,153505.0,208356.0,239446.0,312492.0,,,,,15517.09,15298.64,16591.33,19422.48,22913.12,69821.0,70318.0,79229.0,95556.0,116736.0,,,,,79.5,83.4,88.7,,,,,7865600.0,7689817.0,10170550.0,12474821.0,13283940.0,33836.0,34174.0,34994.0,52428.0,78913.0,5948.0,3959.0,6309.0,4516.0,4574.0,43397.0,46321.0,50366.0,53017.0,56953.0,9.0
santa_fe_do_araguaia,,3.0,666.0,1345.0,1798.0,,,,,,1.0,576.0,573.0,581.0,31.0,2.0,13.0,6.0,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,5018374.0,4977148.0,5767022.0,6941436.0,7210093.0,2537579.0,3033621.0,3968044.0,3407972.0,4085093.0,,,,,,,0.263,0.439,0.616,0.069,0.241,0.482,0.564,0.663,0.804,0.468,0.531,0.604,265084.0,277204.0,341472.0,427917.0,480740.0,90031.0,99357.0,114900.0,157037.0,439579.0,,,,,11983.36,15530.6,16908.26,32540.73,39477.03,114858.0,113608.0,124634.0,147514.0,175927.0,,,,,75.8,80.3,86.7,,,,,11177553.0,10879562.0,13587854.0,16827722.0,17702176.0,10198.0,19748.0,21342.0,70247.0,94479.0,933.0,1245.0,1708.0,2668.0,3384.0,20406.0,22281.0,24896.0,25471.0,27606.0,9.0
santa_maria_do_tocantins,,3.0,198.0,472.0,609.0,,,,,,1.0,100.0,106.0,113.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1876080.0,1972105.0,2499845.0,2868280.0,3432508.0,1271048.0,1474664.0,1918419.0,1693380.0,2102145.0,,,,,,,0.248,0.412,0.634,0.077,0.233,0.543,0.524,0.656,0.784,0.377,0.456,0.6,95138.0,111138.0,169404.0,156631.0,209616.0,31823.0,41024.0,36280.0,44140.0,56094.0,,,,,36474.96,38777.53,51119.84,56315.4,74895.13,40216.0,52509.0,58063.0,113437.0,139630.0,,,,,71.7,82.4,88.1,,,,,7971405.0,7811450.0,10238949.0,12636856.0,13540144.0,39098.0,40205.0,43961.0,71476.0,114174.0,2143.0,2259.0,2718.0,2744.0,3708.0,16329.0,18184.0,18703.0,20377.0,21673.0,9.0
santa_rita_do_tocantins,,3.0,108.0,231.0,274.0,,,,,,1.0,269.0,277.0,286.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2197924.0,2246627.0,2378937.0,2633763.0,3014698.0,2247651.0,3059593.0,4186044.0,4715561.0,5286124.0,,,,,,,0.281,0.43,0.651,0.088,0.216,0.527,0.564,0.699,0.83,0.447,0.527,0.63,70422.0,74121.0,82690.0,120718.0,150256.0,516654.0,279111.0,451319.0,649011.0,667589.0,,,,,30388.85,31018.13,30003.44,48830.1,63257.61,85461.0,90895.0,120898.0,134369.0,180273.0,,,,,83.4,85.0,89.0,,,,,8776642.0,8322826.0,10532252.0,13005904.0,13733568.0,68447.0,64304.0,65360.0,113947.0,177193.0,5206.0,5995.0,4377.0,5387.0,7930.0,29260.0,31637.0,33048.0,35942.0,41786.0,9.0
santa_rosa_do_tocantins,,3.0,12.0,137.0,485.0,,2.1,2.4,2.5,2.6,1.0,355.0,358.0,463.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4043512.0,4266659.0,5487815.0,6980882.0,6795362.0,2799940.0,5147833.0,7728659.0,8272636.0,9241991.0,,,,,,,0.285,0.41,0.595,0.081,0.212,0.471,0.604,0.656,0.78,0.471,0.495,0.574,176965.0,192051.0,242032.0,297143.0,402998.0,138351.0,171112.0,209205.0,255705.0,229912.0,,,,,11426.59,11321.64,12595.99,13068.51,16427.06,146869.0,149228.0,144887.0,236631.0,307685.0,3822.0,4316.0,4568.0,4653.0,78.9,82.3,86.0,22.9,53.8,64.5,71.5,10247378.0,10237729.0,13400880.0,16962581.0,17077124.0,4453.0,4129.0,4184.0,5477.0,12489.0,2582.0,870.0,899.0,933.0,2017.0,17258.0,19411.0,21986.0,23930.0,25104.0,9.0
santa_tereza_do_tocantins,,3.0,7.0,298.0,469.0,,5.8,3.9,4.7,5.2,1.0,41.0,38.0,54.0,31.0,1.0,9.0,11.0,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2692926.0,2702844.0,3206725.0,3873750.0,4252050.0,1020774.0,1210707.0,1503488.0,1422944.0,1675944.0,,,,,,,0.333,0.479,0.662,0.129,0.348,0.575,0.613,0.678,0.817,0.469,0.467,0.618,85187.0,84146.0,117309.0,131319.0,148105.0,5022.0,8584.0,10251.0,16818.0,32296.0,,,,,12052.09,11393.79,12943.16,14670.21,16573.51,32280.0,32086.0,36100.0,37859.0,48098.0,3118.0,2114.0,2523.0,2781.0,80.4,85.4,86.8,28.8,63.4,64.1,65.9,8760693.0,8509096.0,10919358.0,13614301.0,14335747.0,7996.0,5776.0,7285.0,10739.0,13774.0,922.0,774.0,917.0,980.0,1015.0,16069.0,17172.0,18676.0,19698.0,21266.0,9.0
santa_terezinha_do_tocantins,,3.0,374.0,555.0,626.0,,,,,,1.0,29.0,32.0,31.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2015623.0,2418259.0,2930390.0,3418748.0,3705659.0,1150370.0,1060172.0,1480567.0,1555480.0,1560380.0,,,,,,,0.224,0.398,0.637,0.069,0.241,0.584,0.517,0.628,0.758,0.316,0.418,0.583,78076.0,82956.0,84123.0,105628.0,108534.0,5252.0,6086.0,5867.0,6469.0,7934.0,,,,,9498.47,10109.11,10838.29,11928.31,13485.35,30733.0,28803.0,32733.0,37116.0,41931.0,,,,,75.3,78.8,84.7,,,,,8083204.0,8221632.0,10638366.0,13148498.0,13764902.0,7864.0,8336.0,7873.0,12189.0,16584.0,1244.0,1310.0,1553.0,1605.0,1700.0,29013.0,32119.0,35605.0,36508.0,40519.0,9.0
sao_bento_do_tocantins,,3.0,334.0,745.0,1164.0,,,,,,1.0,225.0,201.0,207.0,,,,,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3653460.0,3669205.0,4636578.0,6799110.0,9508360.0,2089453.0,2087653.0,1580349.0,1383653.0,3191220.0,,,,,,,0.208,0.411,0.605,0.047,0.255,0.506,0.515,0.594,0.736,0.371,0.458,0.595,126594.0,132615.0,173112.0,169836.0,203850.0,10085.0,15335.0,11714.0,11698.0,14045.0,,,,,11764.48,13238.05,14680.82,17048.83,22696.11,49687.0,53133.0,57703.0,64306.0,73590.0,,,,,75.7,80.3,86.3,,,,,9729664.0,9485057.0,12352557.0,16537475.0,19574393.0,2252.0,3047.0,3974.0,6599.0,11872.0,517.0,622.0,894.0,749.0,1042.0,12134.0,12653.0,13316.0,14801.0,16617.0,9.0
sao_felix_do_tocantins,,3.0,133.0,249.0,374.0,,,,,,1.0,50.0,62.0,72.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,629608.0,657615.0,726220.0,1149090.0,1569324.0,4334143.0,4503295.0,5641575.0,2360787.0,2413904.0,,,,,,,0.294,0.419,0.574,0.137,0.212,0.446,0.512,0.636,0.771,0.362,0.545,0.55,29219.0,31841.0,59175.0,57336.0,63105.0,10168.0,14509.0,14314.0,33130.0,23314.0,,,,,8606.13,8843.8,18257.95,13624.83,20555.57,18482.0,20810.0,23269.0,27244.0,36541.0,,,,,87.6,79.7,88.3,,,,,6700762.0,6468307.0,8441936.0,10904424.0,11643733.0,5882.0,5492.0,109129.0,48982.0,127108.0,4341.0,4113.0,4474.0,4994.0,5606.0,65539.0,72016.0,81663.0,84618.0,90078.0,9.0
sao_miguel_do_tocantins,,3.0,724.0,1711.0,2830.0,,,,,,1.0,205.0,183.0,200.0,31.0,1.0,3.0,18.0,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),8063460.0,7713245.0,10258707.0,12947697.0,13398412.0,10737457.0,11119566.0,14659830.0,20664661.0,24089249.0,1395058.0,1274569.0,1714791.0,1699699.0,1782829.0,,,,,,,0.24,0.42,0.623,0.064,0.277,0.544,0.517,0.636,0.762,0.42,0.42,0.582,181036.0,193313.0,201485.0,324251.0,289766.0,5300.0,5082.0,7943.0,8469.0,10876.0,,,,,11000.65,11948.9,11826.45,13621.84,15926.43,102465.0,105834.0,221633.0,167504.0,255814.0,,,,,70.8,75.1,84.4,,,,,18837826.0,18864507.0,24943984.0,33648019.0,37503977.0,5769.0,5563.0,5775.0,8222.0,13227.0,968.0,977.0,1093.0,1203.0,1306.0,19472.0,21707.0,22563.0,24554.0,26404.0,9.0
sao_salvador_do_tocantins,,3.0,240.0,560.0,530.0,,,,,,1.0,91.0,98.0,118.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1886783.0,2135497.0,2507034.0,2702287.0,3189018.0,1496190.0,1502218.0,1895869.0,1666893.0,3286451.0,,,,,,,0.222,0.419,0.605,0.035,0.233,0.471,0.632,0.657,0.794,0.496,0.479,0.592,55677.0,61602.0,68775.0,67261.0,97230.0,73894.0,65212.0,130135.0,162421.0,196052.0,,,,,9320.77,9738.99,10480.45,11365.08,12618.29,33926.0,36683.0,36449.0,42146.0,49467.0,,,,,72.5,81.0,83.4,,,,,8023760.0,7998634.0,10339703.0,12588656.0,13436512.0,6771.0,6659.0,6904.0,9721.0,12540.0,2365.0,2128.0,2328.0,2716.0,3517.0,27353.0,29552.0,32712.0,33831.0,36475.0,9.0
sao_sebastiao_do_tocantins,,3.0,21.0,554.0,844.0,,14.8,12.7,14.9,14.2,1.0,100.0,93.0,96.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2841957.0,3243799.0,4091103.0,6323446.0,7480264.0,1341942.0,1331447.0,1760489.0,1839304.0,2217176.0,,,,,,,0.249,0.439,0.573,0.061,0.309,0.487,0.557,0.628,0.748,0.457,0.436,0.516,69323.0,70074.0,74422.0,92949.0,109184.0,3480.0,3084.0,4248.0,2141.0,2332.0,,,,,33346.27,22808.71,23940.24,34419.98,40731.32,44264.0,46328.0,50359.0,55143.0,61804.0,4294.0,3669.0,4283.0,4100.0,73.6,74.3,82.9,53.3,76.6,76.7,76.4,8910865.0,9046802.0,11799211.0,16051610.0,17534455.0,84152.0,36098.0,34291.0,72497.0,87585.0,2356.0,2532.0,2658.0,3229.0,4580.0,24902.0,26705.0,16819.0,28783.0,32885.0,9.0
sao_valerio_da_natividade,,3.0,576.0,771.0,951.0,,1.4,2.0,1.7,1.8,1.0,193.0,199.0,214.0,31.0,3.0,8.0,8.0,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2652942.0,2859252.0,3720479.0,4432533.0,5099278.0,1972589.0,2576189.0,3268165.0,3905146.0,3726044.0,,,,,,,0.327,0.46,0.643,0.119,0.264,0.539,0.604,0.671,0.814,0.487,0.55,0.605,172998.0,175798.0,263901.0,280198.0,372429.0,212454.0,316003.0,289425.0,369415.0,410324.0,1.0,435.0,763.0,1125.0,27469.06,28886.47,32181.31,36844.16,44080.81,137087.0,91623.0,94803.0,134376.0,156734.0,3650.0,5054.0,4383.0,4422.0,80.2,80.0,86.3,36.6,44.3,62.1,67.5,8929829.0,8974228.0,11713062.0,14526784.0,15561216.0,66509.0,51379.0,59609.0,75971.0,116883.0,3444.0,3946.0,10266.0,8829.0,11768.0,32190.0,34414.0,23205.0,39128.0,41042.0,9.0
silvanopolis,,3.0,23.0,399.0,878.0,,4.7,3.8,4.0,4.1,1.0,420.0,450.0,537.0,31.0,1.0,5.0,23.0,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3771132.0,3953721.0,4927515.0,5395480.0,5650284.0,4170634.0,5820983.0,8201431.0,7479443.0,6859106.0,,,,,,,0.33,0.451,0.675,0.135,0.259,0.592,0.55,0.671,0.814,0.483,0.528,0.638,271463.0,297406.0,361588.0,431086.0,555561.0,132616.0,121073.0,95875.0,100275.0,117827.0,1.0,337.0,1080.0,1434.0,9747.17,11268.0,11689.98,12572.91,14820.08,148305.0,155351.0,173876.0,199990.0,240329.0,5878.0,4725.0,5068.0,5108.0,77.1,82.4,88.8,46.7,70.9,80.1,83.6,9970054.0,9875417.0,12727690.0,15222432.0,15820098.0,7551.0,11230.0,11957.0,17399.0,28314.0,2481.0,3899.0,4250.0,4963.0,5546.0,54082.0,61483.0,26364.0,64509.0,72119.0,9.0
sitio_novo_do_tocantins,,3.0,34.0,1024.0,1851.0,,25.6,30.9,28.2,35.3,1.0,255.0,249.0,537.0,31.0,5.0,193.0,421.0,1.0,6.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,11785372.0,10580021.0,11369373.0,14905208.0,20216655.0,21810765.0,1699901.0,1567726.0,1740536.0,2236854.0,2399126.0,,,,,,,0.302,0.457,0.604,0.134,0.333,0.526,0.512,0.636,0.762,0.4,0.452,0.55,273503.0,317630.0,368480.0,430897.0,476035.0,2167.0,1698.0,1922.0,2997.0,3066.0,,,,,30325.47,32988.36,32371.35,55551.07,265258.58,89596.0,102291.0,105549.0,113118.0,132862.0,7870.0,9488.0,9148.0,10830.0,71.9,74.0,84.2,53.8,50.1,53.3,51.4,16653692.0,17175941.0,22614141.0,29950441.0,33603196.0,34686.0,39065.0,37044.0,78673.0,494498.0,1726.0,1742.0,1688.0,2331.0,2556.0,14226.0,15171.0,35644.0,17044.0,19212.0,9.0
sucupira,,3.0,124.0,247.0,353.0,,,,,,1.0,155.0,162.0,173.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),,,,,,,,,,,48.0,50.0,64.0,43.0,60.0,,,,,,,0.319,0.453,0.667,0.109,0.221,0.599,0.632,0.708,0.794,0.472,0.595,0.623,29.0,17.0,39.0,28.0,59.0,,,,,,,,,,58440.75,72523.06,77294.41,85172.17,89062.14,58862.0,64195.0,63642.0,110324.0,532374.0,,,,,79.3,84.7,87.6,,,,,,,,,,14167.0,19013.0,20024.0,37597.0,54094.0,4538.0,5984.0,5416.0,5677.0,5847.0,18474.0,20417.0,9370.0,25361.0,29675.0,9.0
tabocao,,3.0,381.0,567.0,906.0,,,,,,1.0,460.0,487.0,258.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3554166.0,3865622.0,4860258.0,5859506.0,5929849.0,6089243.0,6674550.0,6577673.0,4247954.0,4224088.0,,,,,,,0.264,0.473,0.659,0.065,0.261,0.575,0.64,0.682,0.808,0.444,0.594,0.616,135618.0,141803.0,209554.0,297311.0,388771.0,52350.0,63379.0,79948.0,64588.0,66975.0,,,,,15377.85,14611.47,15819.9,21203.78,37675.68,151011.0,186819.0,200115.0,221618.0,232898.0,,,,,78.7,82.6,91.0,,,,,9668907.0,9726353.0,12642368.0,15647470.0,16048152.0,27055.0,22974.0,23663.0,47532.0,90653.0,2513.0,1990.0,2940.0,3460.0,33541.0,29928.0,32030.0,34446.0,35897.0,39185.0,9.0
taguatinga,,3.0,543.0,2195.0,3192.0,,4.9,5.6,6.2,6.0,1.0,593.0,576.0,690.0,31.0,194.0,372.0,1000.0,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),10079325.0,9641557.0,12823383.0,16184621.0,16748015.0,8160148.0,8619741.0,10999586.0,12805520.0,14947096.0,5123535.0,4858459.0,5638390.0,5110983.0,5259191.0,,,,,,,0.316,0.451,0.634,0.123,0.24,0.497,0.559,0.685,0.818,0.461,0.559,0.628,638650.0,686779.0,773321.0,916140.0,999414.0,75765.0,99259.0,57938.0,82270.0,108057.0,207.0,1510.0,2725.0,3650.0,13940.38,14635.26,14191.38,14770.9,18758.26,230434.0,242038.0,236755.0,248520.0,318253.0,11399.0,13169.0,15051.0,14011.0,79.0,80.8,87.3,46.6,62.0,70.6,73.8,18356978.0,18395607.0,23903899.0,29108061.0,31810295.0,30838.0,25198.0,26052.0,34460.0,81241.0,22050.0,29937.0,19566.0,23959.0,32126.0,90842.0,100900.0,78931.0,111935.0,121002.0,9.0
